seed,allocation,speed,health,hunting,elements,farming,years,peak_population,final_population,tech_tier,end_state,dominant_temperament,buildings,wars
56433,hunter,5,4,8,3,3,48,52,0,0,CONQUEST,PASSIVE,0,61
56433,warlike,4,3,7,3,6,154,89,0,2,CONQUEST,PRAGMATIC,0,286
56433,scholar-ish,7,5,3,3,5,300,75,18,4,ENDURANCE,AMBITIOUS,54,560
56433,weathered,3,4,3,8,5,234,400,400,6,ASCENSION,PRAGMATIC,193,335
56433,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
64352,naive-even,5,5,5,5,5,70,53,0,0,CONQUEST,PASSIVE,0,104
64352,farmer,3,4,3,4,8,141,62,0,0,CONQUEST,PASSIVE,2,207
64352,farm+elements,3,4,3,6,6,300,62,32,4,ENDURANCE,PRAGMATIC,69,250
64352,hardy,3,8,3,5,4,2,50,0,0,COLLAPSE,AMBITIOUS,0,0
64352,swift,8,4,3,3,5,256,400,400,6,ASCENSION,PRAGMATIC,111,274
64352,hunter,5,4,8,3,3,1,51,0,0,COLLAPSE,ZEALOT,0,0
64352,warlike,4,3,7,3,6,300,184,146,6,ENDURANCE,AMBITIOUS,89,171
64352,scholar-ish,7,5,3,3,5,300,64,11,4,ENDURANCE,ZEALOT,61,280
64352,weathered,3,4,3,8,5,15,53,0,0,CONQUEST,PRAGMATIC,1,9
64352,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
72271,naive-even,5,5,5,5,5,159,400,400,6,ASCENSION,AMBITIOUS,180,49
72271,farmer,3,4,3,4,8,300,145,79,6,ENDURANCE,PRAGMATIC,106,276
72271,farm+elements,3,4,3,6,6,174,506,505,6,ASCENSION,AMBITIOUS,207,153
72271,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,ZEALOT,0,0
72271,swift,8,4,3,3,5,237,400,400,6,ASCENSION,ZEALOT,167,162
72271,hunter,5,4,8,3,3,170,479,478,6,ASCENSION,PASSIVE,208,177
72271,warlike,4,3,7,3,6,179,420,420,6,ASCENSION,PASSIVE,190,136
72271,scholar-ish,7,5,3,3,5,261,400,400,6,ASCENSION,ZEALOT,144,184
72271,weathered,3,4,3,8,5,300,97,34,5,ENDURANCE,PASSIVE,92,315
72271,bad,8,3,3,3,1,300,100,13,5,ENDURANCE,PASSIVE,85,80
80190,naive-even,5,5,5,5,5,300,66,8,5,ENDURANCE,ZEALOT,90,137
80190,farmer,3,4,3,4,8,256,400,400,6,ASCENSION,PASSIVE,191,213
80190,farm+elements,3,4,3,6,6,300,225,205,6,ENDURANCE,PRAGMATIC,134,220
80190,hardy,3,8,3,5,4,1,57,0,0,COLLAPSE,PASSIVE,0,0
80190,swift,8,4,3,3,5,272,400,400,6,ASCENSION,ZEALOT,184,271
80190,hunter,5,4,8,3,3,154,61,0,1,CONQUEST,PRAGMATIC,30,171
80190,warlike,4,3,7,3,6,279,400,400,6,ASCENSION,PASSIVE,187,225
80190,scholar-ish,7,5,3,3,5,300,88,42,5,ENDURANCE,ZEALOT,103,147
80190,weathered,3,4,3,8,5,70,55,0,0,CONQUEST,AMBITIOUS,8,29
80190,bad,8,3,3,3,1,300,75,34,5,ENDURANCE,AMBITIOUS,63,196
88109,naive-even,5,5,5,5,5,183,62,0,3,CONQUEST,PASSIVE,6,159
88109,farmer,3,4,3,4,8,206,400,400,6,ASCENSION,ZEALOT,111,311
88109,farm+elements,3,4,3,6,6,276,400,400,6,ASCENSION,PRAGMATIC,111,233
88109,hardy,3,8,3,5,4,3,50,0,0,CONQUEST,PRAGMATIC,0,5
88109,swift,8,4,3,3,5,169,400,400,6,ASCENSION,ZEALOT,113,184
88109,hunter,5,4,8,3,3,268,400,400,6,ASCENSION,PASSIVE,112,233
88109,warlike,4,3,7,3,6,165,513,488,6,ASCENSION,PRAGMATIC,151,191
88109,scholar-ish,7,5,3,3,5,228,400,400,6,ASCENSION,PRAGMATIC,96,264
88109,weathered,3,4,3,8,5,60,57,0,0,CONQUEST,PASSIVE,0,66
88109,bad,8,3,3,3,1,27,50,0,0,CONQUEST,AMBITIOUS,0,36
96028,naive-even,5,5,5,5,5,165,400,400,6,ASCENSION,PASSIVE,150,30
96028,farmer,3,4,3,4,8,300,98,32,5,ENDURANCE,PASSIVE,89,157
96028,farm+elements,3,4,3,6,6,221,400,400,6,ASCENSION,ZEALOT,140,79
96028,hardy,3,8,3,5,4,3,50,0,0,COLLAPSE,AMBITIOUS,0,0
96028,swift,8,4,3,3,5,300,162,87,6,ENDURANCE,PRAGMATIC,109,83
96028,hunter,5,4,8,3,3,2,50,0,0,COLLAPSE,PASSIVE,0,0
96028,warlike,4,3,7,3,6,300,65,22,5,ENDURANCE,ZEALOT,91,177
96028,scholar-ish,7,5,3,3,5,300,194,151,6,ENDURANCE,AMBITIOUS,121,116
96028,weathered,3,4,3,8,5,5,68,0,0,COLLAPSE,PRAGMATIC,0,0
96028,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
103947,naive-even,5,5,5,5,5,300,76,33,5,ENDURANCE,AMBITIOUS,66,540
103947,farmer,3,4,3,4,8,300,83,22,5,ENDURANCE,PRAGMATIC,74,416
103947,farm+elements,3,4,3,6,6,186,64,0,1,CONQUEST,ZEALOT,10,295
103947,hardy,3,8,3,5,4,2,50,0,0,COLLAPSE,AMBITIOUS,0,0
103947,swift,8,4,3,3,5,300,76,7,5,ENDURANCE,AMBITIOUS,59,394
103947,hunter,5,4,8,3,3,1,52,0,0,COLLAPSE,ZEALOT,0,0
103947,warlike,4,3,7,3,6,300,95,45,5,ENDURANCE,ZEALOT,66,433
103947,scholar-ish,7,5,3,3,5,207,83,0,4,CONQUEST,AMBITIOUS,0,291
103947,weathered,3,4,3,8,5,6,63,0,0,COLLAPSE,ZEALOT,0,2
103947,bad,8,3,3,3,1,1,50,0,0,COLLAPSE,PASSIVE,0,0
111866,naive-even,5,5,5,5,5,189,400,400,6,ASCENSION,PASSIVE,150,122
111866,farmer,3,4,3,4,8,223,400,400,6,ASCENSION,ZEALOT,155,279
111866,farm+elements,3,4,3,6,6,180,77,0,2,CONQUEST,AMBITIOUS,11,180
111866,hardy,3,8,3,5,4,2,52,0,0,COLLAPSE,PRAGMATIC,0,0
111866,swift,8,4,3,3,5,226,400,400,6,ASCENSION,AMBITIOUS,129,157
111866,hunter,5,4,8,3,3,154,489,489,6,ASCENSION,PRAGMATIC,168,40
111866,warlike,4,3,7,3,6,300,97,31,5,ENDURANCE,PASSIVE,67,127
111866,scholar-ish,7,5,3,3,5,300,366,366,6,ENDURANCE,PASSIVE,142,319
111866,weathered,3,4,3,8,5,70,66,0,0,CONQUEST,PRAGMATIC,0,66
111866,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
119785,naive-even,5,5,5,5,5,189,59,0,2,CONQUEST,ZEALOT,0,256
119785,farmer,3,4,3,4,8,300,148,148,6,ENDURANCE,PRAGMATIC,104,399
119785,farm+elements,3,4,3,6,6,294,400,400,6,ASCENSION,PRAGMATIC,108,391
119785,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,PRAGMATIC,0,0
119785,swift,8,4,3,3,5,162,75,0,3,CONQUEST,PASSIVE,0,251
119785,hunter,5,4,8,3,3,54,64,0,0,CONQUEST,ZEALOT,0,97
119785,warlike,4,3,7,3,6,300,388,387,6,ENDURANCE,AMBITIOUS,133,328
119785,scholar-ish,7,5,3,3,5,300,119,74,5,ENDURANCE,ZEALOT,93,381
119785,weathered,3,4,3,8,5,34,62,0,0,CONQUEST,AMBITIOUS,0,48
119785,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
127704,naive-even,5,5,5,5,5,300,233,190,6,ENDURANCE,PRAGMATIC,111,472
127704,farmer,3,4,3,4,8,146,441,404,6,ASCENSION,AMBITIOUS,158,131
127704,farm+elements,3,4,3,6,6,300,100,27,5,ENDURANCE,PASSIVE,56,564
127704,hardy,3,8,3,5,4,1,52,0,0,COLLAPSE,ZEALOT,0,0
127704,swift,8,4,3,3,5,108,76,0,2,CONQUEST,AMBITIOUS,0,184
127704,hunter,5,4,8,3,3,291,84,0,4,COLLAPSE,ZEALOT,0,349
127704,warlike,4,3,7,3,6,300,96,71,5,ENDURANCE,PASSIVE,70,508
127704,scholar-ish,7,5,3,3,5,197,400,400,6,ASCENSION,AMBITIOUS,148,320
127704,weathered,3,4,3,8,5,111,61,0,0,CONQUEST,PASSIVE,1,178
127704,bad,8,3,3,3,1,32,50,0,0,CONQUEST,PASSIVE,0,23
135623,naive-even,5,5,5,5,5,82,62,0,0,CONQUEST,PRAGMATIC,0,154
135623,farmer,3,4,3,4,8,47,64,0,0,CONQUEST,PRAGMATIC,0,80
135623,farm+elements,3,4,3,6,6,92,57,0,0,CONQUEST,PRAGMATIC,0,155
135623,hardy,3,8,3,5,4,3,50,0,0,COLLAPSE,ZEALOT,0,0
135623,swift,8,4,3,3,5,300,150,70,5,ENDURANCE,PRAGMATIC,94,178
135623,hunter,5,4,8,3,3,1,50,0,0,COLLAPSE,AMBITIOUS,0,0
135623,warlike,4,3,7,3,6,34,53,0,0,CONQUEST,AMBITIOUS,0,37
135623,scholar-ish,7,5,3,3,5,300,66,33,4,ENDURANCE,PASSIVE,56,338
135623,weathered,3,4,3,8,5,38,64,0,0,CONQUEST,PASSIVE,0,58
135623,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
143542,naive-even,5,5,5,5,5,300,200,41,6,ENDURANCE,AMBITIOUS,117,384
143542,farmer,3,4,3,4,8,165,439,427,6,ASCENSION,PRAGMATIC,127,183
143542,farm+elements,3,4,3,6,6,300,132,108,5,ENDURANCE,PASSIVE,81,323
143542,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,PASSIVE,0,0
143542,swift,8,4,3,3,5,300,177,60,6,ENDURANCE,AMBITIOUS,105,452
143542,hunter,5,4,8,3,3,2,50,0,0,COLLAPSE,PRAGMATIC,0,0
143542,warlike,4,3,7,3,6,300,253,108,6,ENDURANCE,AMBITIOUS,111,324
143542,scholar-ish,7,5,3,3,5,300,136,55,6,ENDURANCE,ZEALOT,87,373
143542,weathered,3,4,3,8,5,41,58,0,0,CONQUEST,PRAGMATIC,3,41
143542,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
151461,naive-even,5,5,5,5,5,300,275,163,6,ENDURANCE,AMBITIOUS,150,385
151461,farmer,3,4,3,4,8,300,394,210,6,ENDURANCE,PASSIVE,175,355
151461,farm+elements,3,4,3,6,6,173,400,400,6,ASCENSION,ZEALOT,154,175
151461,hardy,3,8,3,5,4,2,53,0,0,COLLAPSE,PRAGMATIC,0,0
151461,swift,8,4,3,3,5,281,400,400,6,ASCENSION,PASSIVE,142,330
151461,hunter,5,4,8,3,3,11,65,0,0,COLLAPSE,AMBITIOUS,5,9
151461,warlike,4,3,7,3,6,117,504,504,6,ASCENSION,PRAGMATIC,186,158
151461,scholar-ish,7,5,3,3,5,300,111,5,5,ENDURANCE,PRAGMATIC,74,222
151461,weathered,3,4,3,8,5,300,141,111,5,ENDURANCE,PRAGMATIC,96,283
151461,bad,8,3,3,3,1,1,50,0,0,COLLAPSE,PASSIVE,0,0
