seed,allocation,speed,health,hunting,elements,farming,years,peak_population,final_population,tech_tier,end_state,dominant_temperament,buildings,wars
1000,naive-even,5,5,5,5,5,300,86,7,3,ENDURANCE,ZEALOT,72,375
1000,farmer,3,4,3,4,8,184,75,0,2,CONQUEST,PASSIVE,0,205
1000,farm+elements,3,4,3,6,6,300,173,98,5,ENDURANCE,PRAGMATIC,94,131
1000,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,ZEALOT,0,0
1000,swift,8,4,3,3,5,300,82,18,3,ENDURANCE,ZEALOT,71,377
1000,hunter,5,4,8,3,3,90,50,0,1,CONQUEST,PASSIVE,0,77
1000,warlike,4,3,7,3,6,300,72,19,3,ENDURANCE,PRAGMATIC,64,270
1000,scholar-ish,7,5,3,3,5,300,85,35,4,ENDURANCE,ZEALOT,75,362
1000,weathered,3,4,3,8,5,154,57,0,1,CONQUEST,PASSIVE,0,301
1000,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
1000,pure-speed,8,4,3,3,4,300,88,6,3,ENDURANCE,AMBITIOUS,22,176
1000,pure-health,3,8,3,4,4,2,50,0,0,COLLAPSE,PRAGMATIC,0,0
1000,pure-hunting,3,4,8,3,4,35,50,0,0,CONQUEST,ZEALOT,0,38
1000,pure-elements,3,4,3,8,4,1,50,0,0,COLLAPSE,ZEALOT,0,0
1000,pure-farming,3,4,3,4,8,184,75,0,2,CONQUEST,PASSIVE,0,205
8919,naive-even,5,5,5,5,5,300,350,111,5,ENDURANCE,AMBITIOUS,86,288
8919,farmer,3,4,3,4,8,300,182,61,5,ENDURANCE,PASSIVE,80,279
8919,farm+elements,3,4,3,6,6,300,243,164,5,ENDURANCE,ZEALOT,82,398
8919,hardy,3,8,3,5,4,0,50,0,0,COLLAPSE,NONE,0,0
8919,swift,8,4,3,3,5,276,67,0,4,CONQUEST,ZEALOT,0,306
8919,hunter,5,4,8,3,3,300,112,22,4,ENDURANCE,PRAGMATIC,62,325
8919,warlike,4,3,7,3,6,55,52,0,0,CONQUEST,AMBITIOUS,0,82
8919,scholar-ish,7,5,3,3,5,271,74,0,3,CONQUEST,PASSIVE,0,375
8919,weathered,3,4,3,8,5,20,51,0,0,CONQUEST,PRAGMATIC,0,13
8919,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
8919,pure-speed,8,4,3,3,4,295,452,452,6,ASCENSION,PASSIVE,142,222
8919,pure-health,3,8,3,4,4,61,50,0,0,CONQUEST,PRAGMATIC,0,61
8919,pure-hunting,3,4,8,3,4,220,61,0,2,CONQUEST,PRAGMATIC,20,214
8919,pure-elements,3,4,3,8,4,0,50,0,0,COLLAPSE,NONE,0,0
8919,pure-farming,3,4,3,4,8,300,182,61,5,ENDURANCE,PASSIVE,80,279
16838,naive-even,5,5,5,5,5,219,771,699,6,ASCENSION,AMBITIOUS,172,91
16838,farmer,3,4,3,4,8,223,910,910,6,ASCENSION,PRAGMATIC,165,73
16838,farm+elements,3,4,3,6,6,213,1112,1112,6,ASCENSION,PRAGMATIC,175,67
16838,hardy,3,8,3,5,4,2,50,0,0,COLLAPSE,ZEALOT,0,1
16838,swift,8,4,3,3,5,184,1065,1065,6,ASCENSION,AMBITIOUS,188,61
16838,hunter,5,4,8,3,3,0,50,0,0,COLLAPSE,NONE,0,0
16838,warlike,4,3,7,3,6,207,1039,1039,6,ASCENSION,PASSIVE,193,135
16838,scholar-ish,7,5,3,3,5,213,959,959,6,ASCENSION,AMBITIOUS,178,49
16838,weathered,3,4,3,8,5,2,59,0,0,COLLAPSE,PASSIVE,1,0
16838,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
16838,pure-speed,8,4,3,3,4,1,51,0,0,COLLAPSE,ZEALOT,0,0
16838,pure-health,3,8,3,4,4,0,50,0,0,COLLAPSE,NONE,0,0
16838,pure-hunting,3,4,8,3,4,0,51,0,0,COLLAPSE,NONE,0,0
16838,pure-elements,3,4,3,8,4,2,50,0,0,COLLAPSE,ZEALOT,0,1
16838,pure-farming,3,4,3,4,8,223,910,910,6,ASCENSION,PRAGMATIC,165,73
24757,naive-even,5,5,5,5,5,300,119,100,5,ENDURANCE,PRAGMATIC,85,362
24757,farmer,3,4,3,4,8,300,161,147,5,ENDURANCE,PRAGMATIC,83,398
24757,farm+elements,3,4,3,6,6,210,677,627,6,ASCENSION,PASSIVE,179,212
24757,hardy,3,8,3,5,4,2,52,0,0,COLLAPSE,PASSIVE,0,0
24757,swift,8,4,3,3,5,300,350,170,5,ENDURANCE,ZEALOT,141,332
24757,hunter,5,4,8,3,3,136,50,0,1,CONQUEST,AMBITIOUS,3,251
24757,warlike,4,3,7,3,6,300,591,561,5,ENDURANCE,PRAGMATIC,150,296
24757,scholar-ish,7,5,3,3,5,300,290,205,5,ENDURANCE,AMBITIOUS,115,510
24757,weathered,3,4,3,8,5,3,53,0,0,COLLAPSE,ZEALOT,0,1
24757,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
24757,pure-speed,8,4,3,3,4,45,78,0,0,CONQUEST,AMBITIOUS,0,72
24757,pure-health,3,8,3,4,4,0,52,0,0,COLLAPSE,NONE,0,0
24757,pure-hunting,3,4,8,3,4,300,404,404,5,ENDURANCE,ZEALOT,107,356
24757,pure-elements,3,4,3,8,4,1,52,0,0,COLLAPSE,PASSIVE,0,0
24757,pure-farming,3,4,3,4,8,300,161,147,5,ENDURANCE,PRAGMATIC,83,398
32676,naive-even,5,5,5,5,5,273,72,0,2,CONQUEST,ZEALOT,8,469
32676,farmer,3,4,3,4,8,300,129,82,5,ENDURANCE,PASSIVE,88,340
32676,farm+elements,3,4,3,6,6,300,273,101,5,ENDURANCE,ZEALOT,126,342
32676,hardy,3,8,3,5,4,21,50,0,0,CONQUEST,ZEALOT,0,10
32676,swift,8,4,3,3,5,248,60,0,2,CONQUEST,PRAGMATIC,65,320
32676,hunter,5,4,8,3,3,50,50,0,0,CONQUEST,PASSIVE,2,74
32676,warlike,4,3,7,3,6,293,769,719,6,ASCENSION,AMBITIOUS,191,356
32676,scholar-ish,7,5,3,3,5,58,62,0,0,CONQUEST,ZEALOT,0,89
32676,weathered,3,4,3,8,5,24,53,0,0,CONQUEST,AMBITIOUS,0,17
32676,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
32676,pure-speed,8,4,3,3,4,300,135,129,4,ENDURANCE,PASSIVE,94,216
32676,pure-health,3,8,3,4,4,1,50,0,0,COLLAPSE,ZEALOT,0,0
32676,pure-hunting,3,4,8,3,4,2,50,0,0,COLLAPSE,PRAGMATIC,0,0
32676,pure-elements,3,4,3,8,4,23,50,0,0,CONQUEST,PASSIVE,0,19
32676,pure-farming,3,4,3,4,8,300,129,82,5,ENDURANCE,PASSIVE,88,340
40595,naive-even,5,5,5,5,5,246,943,941,6,ASCENSION,PRAGMATIC,180,280
40595,farmer,3,4,3,4,8,300,109,23,4,ENDURANCE,ZEALOT,63,416
40595,farm+elements,3,4,3,6,6,300,203,191,5,ENDURANCE,PASSIVE,103,393
40595,hardy,3,8,3,5,4,2,50,0,0,COLLAPSE,PASSIVE,0,0
40595,swift,8,4,3,3,5,300,172,131,5,ENDURANCE,AMBITIOUS,87,365
40595,hunter,5,4,8,3,3,0,50,0,0,COLLAPSE,NONE,0,0
40595,warlike,4,3,7,3,6,300,87,34,4,ENDURANCE,AMBITIOUS,70,310
40595,scholar-ish,7,5,3,3,5,300,147,53,5,ENDURANCE,AMBITIOUS,79,427
40595,weathered,3,4,3,8,5,2,55,0,0,COLLAPSE,PRAGMATIC,0,0
40595,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
40595,pure-speed,8,4,3,3,4,48,53,0,0,CONQUEST,AMBITIOUS,0,61
40595,pure-health,3,8,3,4,4,0,50,0,0,COLLAPSE,NONE,0,0
40595,pure-hunting,3,4,8,3,4,2,50,0,0,COLLAPSE,PRAGMATIC,0,0
40595,pure-elements,3,4,3,8,4,2,50,0,0,COLLAPSE,PASSIVE,0,0
40595,pure-farming,3,4,3,4,8,300,109,23,4,ENDURANCE,ZEALOT,63,416
48514,naive-even,5,5,5,5,5,300,129,52,5,ENDURANCE,AMBITIOUS,66,357
48514,farmer,3,4,3,4,8,250,100,0,3,CONQUEST,ZEALOT,13,379
48514,farm+elements,3,4,3,6,6,57,80,0,0,CONQUEST,ZEALOT,0,82
48514,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,ZEALOT,0,0
48514,swift,8,4,3,3,5,219,743,712,6,ASCENSION,PASSIVE,132,266
48514,hunter,5,4,8,3,3,196,802,765,6,ASCENSION,PASSIVE,106,225
48514,warlike,4,3,7,3,6,300,338,238,5,ENDURANCE,AMBITIOUS,79,408
48514,scholar-ish,7,5,3,3,5,300,464,355,5,ENDURANCE,AMBITIOUS,69,262
48514,weathered,3,4,3,8,5,300,76,37,4,ENDURANCE,PASSIVE,55,331
48514,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
48514,pure-speed,8,4,3,3,4,209,901,900,6,ASCENSION,ZEALOT,146,182
48514,pure-health,3,8,3,4,4,1,50,0,0,COLLAPSE,PRAGMATIC,0,0
48514,pure-hunting,3,4,8,3,4,300,65,36,4,ENDURANCE,AMBITIOUS,53,299
48514,pure-elements,3,4,3,8,4,1,50,0,0,COLLAPSE,ZEALOT,0,0
48514,pure-farming,3,4,3,4,8,250,100,0,3,CONQUEST,ZEALOT,13,379
56433,naive-even,5,5,5,5,5,300,95,61,4,ENDURANCE,PASSIVE,112,314
56433,farmer,3,4,3,4,8,300,160,152,5,ENDURANCE,PASSIVE,126,442
56433,farm+elements,3,4,3,6,6,291,656,650,6,ASCENSION,PASSIVE,191,263
56433,hardy,3,8,3,5,4,0,50,0,0,COLLAPSE,NONE,0,0
56433,swift,8,4,3,3,5,240,723,723,6,ASCENSION,ZEALOT,197,184
56433,hunter,5,4,8,3,3,0,50,0,0,COLLAPSE,NONE,0,0
56433,warlike,4,3,7,3,6,127,65,0,2,CONQUEST,AMBITIOUS,0,178
56433,scholar-ish,7,5,3,3,5,300,92,62,5,ENDURANCE,ZEALOT,110,347
56433,weathered,3,4,3,8,5,61,56,0,0,CONQUEST,ZEALOT,0,56
56433,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
56433,pure-speed,8,4,3,3,4,3,50,0,0,COLLAPSE,PASSIVE,0,0
56433,pure-health,3,8,3,4,4,1,50,0,0,COLLAPSE,AMBITIOUS,0,0
56433,pure-hunting,3,4,8,3,4,2,50,0,0,COLLAPSE,AMBITIOUS,0,0
56433,pure-elements,3,4,3,8,4,0,50,0,0,COLLAPSE,NONE,0,0
56433,pure-farming,3,4,3,4,8,300,160,152,5,ENDURANCE,PASSIVE,126,442
64352,naive-even,5,5,5,5,5,9,66,0,0,COLLAPSE,AMBITIOUS,17,6
64352,farmer,3,4,3,4,8,300,63,5,4,ENDURANCE,ZEALOT,32,127
64352,farm+elements,3,4,3,6,6,300,192,120,5,ENDURANCE,ZEALOT,96,166
64352,hardy,3,8,3,5,4,0,50,0,0,COLLAPSE,NONE,0,0
64352,swift,8,4,3,3,5,86,70,0,0,CONQUEST,PASSIVE,0,144
64352,hunter,5,4,8,3,3,0,50,0,0,COLLAPSE,NONE,0,0
64352,warlike,4,3,7,3,6,119,60,0,1,CONQUEST,ZEALOT,0,127
64352,scholar-ish,7,5,3,3,5,13,62,0,0,CONQUEST,ZEALOT,0,12
64352,weathered,3,4,3,8,5,2,56,0,0,COLLAPSE,ZEALOT,0,0
64352,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
64352,pure-speed,8,4,3,3,4,45,52,0,0,CONQUEST,AMBITIOUS,0,42
64352,pure-health,3,8,3,4,4,0,50,0,0,COLLAPSE,NONE,0,0
64352,pure-hunting,3,4,8,3,4,0,50,0,0,COLLAPSE,NONE,0,0
64352,pure-elements,3,4,3,8,4,0,50,0,0,COLLAPSE,NONE,0,0
64352,pure-farming,3,4,3,4,8,300,63,5,4,ENDURANCE,ZEALOT,32,127
72271,naive-even,5,5,5,5,5,170,73,0,1,CONQUEST,PASSIVE,13,170
72271,farmer,3,4,3,4,8,216,889,889,6,ASCENSION,AMBITIOUS,231,85
72271,farm+elements,3,4,3,6,6,296,86,0,4,CONQUEST,ZEALOT,36,136
72271,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,ZEALOT,0,0
72271,swift,8,4,3,3,5,225,693,690,6,ASCENSION,ZEALOT,214,168
72271,hunter,5,4,8,3,3,137,50,0,0,CONQUEST,PRAGMATIC,1,135
72271,warlike,4,3,7,3,6,187,1032,1002,6,ASCENSION,AMBITIOUS,281,174
72271,scholar-ish,7,5,3,3,5,300,66,27,4,ENDURANCE,AMBITIOUS,80,200
72271,weathered,3,4,3,8,5,88,50,0,0,CONQUEST,PASSIVE,0,85
72271,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
72271,pure-speed,8,4,3,3,4,300,85,2,3,ENDURANCE,PRAGMATIC,73,169
72271,pure-health,3,8,3,4,4,0,50,0,0,COLLAPSE,NONE,0,0
72271,pure-hunting,3,4,8,3,4,94,50,0,0,CONQUEST,PRAGMATIC,0,111
72271,pure-elements,3,4,3,8,4,1,50,0,0,COLLAPSE,ZEALOT,0,0
72271,pure-farming,3,4,3,4,8,216,889,889,6,ASCENSION,AMBITIOUS,231,85
80190,naive-even,5,5,5,5,5,212,735,734,6,ASCENSION,ZEALOT,273,76
80190,farmer,3,4,3,4,8,293,62,0,3,CONQUEST,PRAGMATIC,0,81
80190,farm+elements,3,4,3,6,6,256,706,704,6,ASCENSION,PASSIVE,256,114
80190,hardy,3,8,3,5,4,1,50,0,0,COLLAPSE,PASSIVE,0,0
80190,swift,8,4,3,3,5,199,753,753,6,ASCENSION,PRAGMATIC,287,150
80190,hunter,5,4,8,3,3,219,1012,1012,6,ASCENSION,AMBITIOUS,272,80
80190,warlike,4,3,7,3,6,300,164,127,5,ENDURANCE,PRAGMATIC,121,118
80190,scholar-ish,7,5,3,3,5,244,906,906,6,ASCENSION,PASSIVE,232,160
80190,weathered,3,4,3,8,5,54,63,0,0,CONQUEST,PASSIVE,0,55
80190,bad,8,3,3,3,1,0,50,0,0,COLLAPSE,NONE,0,0
80190,pure-speed,8,4,3,3,4,300,118,106,4,ENDURANCE,PASSIVE,110,76
80190,pure-health,3,8,3,4,4,0,50,0,0,COLLAPSE,NONE,0,0
80190,pure-hunting,3,4,8,3,4,152,54,0,0,CONQUEST,ZEALOT,1,113
80190,pure-elements,3,4,3,8,4,1,51,0,0,COLLAPSE,ZEALOT,0,0
80190,pure-farming,3,4,3,4,8,293,62,0,3,CONQUEST,PRAGMATIC,0,81
88109,naive-even,5,5,5,5,5,300,253,253,5,ENDURANCE,PRAGMATIC,83,209
88109,farmer,3,4,3,4,8,211,910,910,6,ASCENSION,ZEALOT,229,185
88109,farm+elements,3,4,3,6,6,227,943,943,6,ASCENSION,ZEALOT,273,113
88109,hardy,3,8,3,5,4,0,50,0,0,COLLAPSE,NONE,0,0
88109,swift,8,4,3,3,5,294,611,611,6,ASCENSION,AMBITIOUS,139,193
